Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Average_Estimator
202,127,255,127,127,63,139.8
203,127,255,127,127,63,139.8
204,127,255,127,127,63,139.8
205,127,255,127,127,63,139.8
206,127,255,127,127,63,139.8
207,127,255,127,127,63,139.8
208,127,255,127,127,63,139.8
209,127,255,127,127,63,139.8
210,127,255,127,127,63,139.8
211,127,255,127,127,63,139.8
212,127,255,127,127,63,139.8
213,127,255,127,127,63,139.8
214,127,255,127,127,63,139.8
215,127,255,127,127,63,139.8
216,127,255,127,127,63,139.8
217,127,255,127,127,63,139.8
218,127,255,127,127,63,139.8
219,127,255,127,127,63,139.8
220,127,255,127,127,63,139.8
221,127,255,127,127,63,139.8
222,127,511,127,127,63,191
223,127,511,127,127,63,191
224,127,511,127,127,63,191
225,127,511,127,127,63,191
226,127,511,127,127,63,191
227,127,511,127,127,63,191
228,127,511,127,127,63,191
229,127,511,127,127,63,191
230,127,511,127,127,63,191
231,127,511,127,127,63,191
232,127,511,127,127,63,191
233,127,511,127,127,63,191
234,127,511,127,127,63,191
235,127,511,127,127,63,191
236,127,511,127,127,63,191
237,127,511,127,127,63,191
238,127,511,127,127,63,191
239,127,511,127,127,63,191
240,127,511,127,127,63,191
241,127,511,127,127,63,191
242,127,511,127,127,63,191
243,127,511,127,127,63,191
244,127,511,127,127,63,191
245,127,511,127,127,63,191
246,127,511,127,127,63,191
247,127,511,127,127,63,191
248,127,511,127,127,63,191
249,127,511,127,127,63,191
250,127,511,127,127,63,191
251,127,511,127,127,63,191
252,127,511,127,127,127,203.8
253,127,511,127,127,127,203.8
254,127,511,127,127,127,203.8
255,127,511,127,127,127,203.8
256,127,511,127,127,127,203.8
257,127,511,127,127,127,203.8
258,127,511,127,127,127,203.8
259,127,511,127,127,127,203.8
260,127,511,127,127,127,203.8
261,127,511,127,127,127,203.8
262,127,511,127,127,127,203.8
263,127,511,127,127,127,203.8
264,127,511,127,127,127,203.8
265,127,511,127,127,127,203.8
266,127,511,127,127,127,203.8
267,127,511,127,127,127,203.8
268,127,511,127,127,127,203.8
269,127,511,127,127,127,203.8
270,127,511,127,127,127,203.8
271,127,511,127,127,127,203.8
