Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Average_Estimator
122,31,127,63,63,63,255,127,63,63,63,91.8
123,31,127,63,63,63,255,127,63,63,63,91.8
124,31,127,63,63,63,255,127,63,63,63,91.8
125,31,127,63,63,63,255,127,63,63,63,91.8
126,31,127,63,63,63,255,127,63,63,63,91.8
127,31,127,63,63,63,255,127,63,63,63,91.8
128,31,127,63,63,127,255,127,63,63,63,98.2
129,31,127,63,63,127,255,127,63,63,63,98.2
130,31,127,63,63,127,255,127,63,63,63,98.2
131,31,127,63,63,127,255,127,63,63,63,98.2
132,31,127,63,63,127,255,127,63,63,63,98.2
133,31,127,63,63,127,255,127,63,63,63,98.2
134,31,127,63,63,127,255,127,63,63,63,98.2
135,31,127,63,63,127,255,127,63,63,63,98.2
136,31,127,63,63,255,255,127,63,63,63,111
137,31,127,63,63,255,255,127,63,63,63,111
138,31,127,63,63,255,255,127,63,63,63,111
139,31,127,63,63,255,255,127,63,63,63,111
140,31,127,63,63,255,255,127,63,63,63,111
141,31,127,63,63,255,255,127,63,63,63,111
142,31,127,63,63,255,255,127,63,63,63,111
143,31,127,63,63,255,255,127,63,63,63,111
144,31,127,63,63,255,255,127,63,63,63,111
145,63,127,63,63,255,255,127,63,63,63,114.2
146,63,127,63,63,255,255,127,63,63,63,114.2
147,63,127,63,63,255,255,127,63,63,63,114.2
148,63,127,63,63,255,255,127,63,63,63,114.2
149,63,127,63,63,255,255,127,63,63,63,114.2
150,63,127,63,63,255,255,127,63,63,63,114.2
151,63,127,63,63,255,255,127,63,63,63,114.2
152,63,127,63,63,255,255,127,63,63,63,114.2
153,63,127,63,63,255,255,127,127,63,63,120.6
154,63,127,63,63,255,255,127,127,63,63,120.6
155,63,127,63,63,255,255,127,127,63,63,120.6
156,63,127,63,63,255,255,127,127,63,63,120.6
157,63,127,63,63,255,255,127,127,63,63,120.6
158,63,127,63,63,255,255,127,127,63,63,120.6
159,63,127,63,63,255,255,127,127,63,63,120.6
160,63,127,63,63,255,255,127,127,63,63,120.6
161,63,127,63,63,255,255,127,127,63,63,120.6
162,63,127,63,63,255,255,127,127,63,63,120.6
163,63,127,63,63,255,255,127,127,63,63,120.6
164,63,127,63,63,255,255,127,127,63,63,120.6
165,63,127,63,63,255,255,127,127,63,63,120.6
166,63,127,63,63,255,255,127,127,63,63,120.6
167,63,127,63,63,255,255,127,127,63,63,120.6
168,63,127,63,63,255,255,127,127,63,63,120.6
169,63,127,63,63,255,255,127,127,63,63,120.6
170,63,127,63,63,255,255,127,127,63,63,120.6
171,63,127,63,63,255,255,127,127,63,63,120.6
172,63,127,63,63,255,255,127,127,63,63,120.6
173,63,127,63,63,255,255,127,127,63,63,120.6
174,63,127,63,63,255,255,127,127,63,63,120.6
175,63,127,63,63,255,255,127,127,63,63,120.6
176,63,127,63,63,255,255,127,127,63,63,120.6
177,63,127,63,63,255,255,127,127,63,63,120.6
178,63,127,63,63,255,255,127,127,63,63,120.6
179,63,127,63,63,255,255,127,127,63,63,120.6
180,63,127,63,63,255,255,127,127,63,63,120.6
181,63,127,63,63,255,255,127,127,63,63,120.6
182,63,127,63,63,255,255,127,127,63,63,120.6
183,63,127,63,63,255,255,127,127,63,63,120.6
184,63,127,63,63,255,255,127,127,63,63,120.6
185,63,127,63,63,255,255,127,127,63,63,120.6
186,63,127,63,63,255,255,127,127,63,63,120.6
187,63,127,63,63,255,255,127,127,63,63,120.6
