Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Estimator_11,Estimator_12,Estimator_13,Estimator_14,Estimator_15,Estimator_16,Estimator_17,Estimator_18,Estimator_19,Estimator_20,Estimator_21,Estimator_22,Estimator_23,Estimator_24,Estimator_25,Average_Estimator
3081,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3082,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3083,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3084,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3085,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3086,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3087,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3088,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3089,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3090,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3091,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3092,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3093,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3094,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3095,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3096,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3097,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3098,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3099,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3100,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3101,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3102,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3103,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3104,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3105,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3106,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3107,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3108,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3109,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3110,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3111,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3112,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3113,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3114,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3115,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3116,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3117,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3118,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3119,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3120,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3121,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3122,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3123,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3124,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3125,4095,4095,4095,1023,2047,4095,2047,8191,2047,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3398.68
3126,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3127,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3128,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3129,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3130,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3131,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3132,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3133,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3134,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3135,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3136,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3137,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3138,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3139,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3140,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3141,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3142,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3143,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3144,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3145,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3146,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3147,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3148,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3149,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3150,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3151,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3152,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3153,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3154,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3155,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3156,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3157,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3158,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3159,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3160,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3161,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3162,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3163,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3164,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3165,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3166,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3167,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3168,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3169,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3170,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3171,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3172,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3173,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3174,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3175,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3176,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3177,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3178,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3179,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3180,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3181,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3182,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3183,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3184,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3185,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3186,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3187,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3188,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3189,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3190,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3191,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3192,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3193,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3194,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3195,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3196,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3197,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3198,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3199,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3200,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3201,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3202,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3203,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3204,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3205,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3206,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3207,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3208,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3209,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3210,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3211,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3212,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3213,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3214,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3215,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3216,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3217,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3218,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3219,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3220,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3221,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3222,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3223,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3224,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3225,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3226,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3227,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3228,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3229,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3230,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3231,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3232,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3233,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3234,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3235,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3236,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3237,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3238,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3239,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3240,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3241,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3242,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3243,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3244,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3245,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
3246,4095,4095,4095,1023,2047,4095,2047,8191,4095,2047,2047,4095,4095,2047,8191,2047,8191,4095,2047,4095,1023,4095,2047,1023,2047,3480.6
