Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Estimator_11,Estimator_12,Estimator_13,Estimator_14,Estimator_15,Estimator_16,Estimator_17,Estimator_18,Estimator_19,Estimator_20,Estimator_21,Estimator_22,Estimator_23,Estimator_24,Estimator_25,Average_Estimator
54,31,31,31,63,63,31,31,63,31,63,15,127,63,31,31,63,63,31,63,63,127,31,63,31,15,50.2
55,31,31,31,63,63,31,31,63,31,63,15,127,63,31,31,63,63,31,63,63,127,31,63,31,31,50.84
56,63,31,31,63,63,31,31,63,31,63,15,127,63,31,31,63,63,31,63,63,127,31,63,31,31,52.12
57,63,31,31,63,63,31,31,63,31,63,15,127,63,63,31,63,63,31,63,127,127,31,63,31,31,55.96
58,63,31,31,63,63,31,31,63,31,63,15,127,63,63,31,63,63,31,63,127,127,31,63,31,31,55.96
59,63,31,31,63,63,31,63,63,31,63,15,127,63,63,31,63,63,31,63,127,127,31,63,31,31,57.24
60,63,31,31,63,63,31,63,63,31,63,15,127,63,63,31,63,63,31,63,127,127,31,63,31,31,57.24
61,63,31,31,63,63,31,63,63,31,63,15,127,63,63,31,63,63,31,63,127,127,31,63,31,31,57.24
62,63,31,31,63,63,31,63,127,31,63,31,127,63,63,31,63,63,31,63,255,127,31,63,31,31,65.56
63,63,31,31,63,63,31,63,127,31,63,31,127,63,63,31,63,63,31,63,255,127,31,63,31,31,65.56
64,63,31,31,63,63,31,63,127,31,63,31,127,63,63,31,63,63,31,63,255,127,31,63,63,31,66.84
65,63,31,31,63,63,31,63,127,31,63,31,127,63,63,31,63,63,31,63,255,127,31,63,63,31,66.84
66,63,31,31,63,63,31,63,127,31,63,31,127,63,127,31,63,63,31,63,255,127,31,63,63,31,69.4
67,63,31,31,63,63,31,63,127,31,63,63,127,63,127,31,63,63,31,63,255,127,31,63,63,31,70.68
68,63,31,31,63,63,31,63,127,31,63,63,127,63,127,31,63,63,31,63,255,127,31,63,63,31,70.68
69,63,31,31,63,63,31,63,127,31,63,63,127,63,127,31,63,63,31,63,255,127,31,63,63,31,70.68
70,63,31,31,63,63,31,63,127,31,63,63,127,63,127,31,63,63,31,63,255,127,31,63,63,31,70.68
71,63,31,31,63,63,31,63,127,31,63,63,127,63,127,31,63,63,31,63,255,127,31,63,63,31,70.68
72,63,31,31,63,63,31,63,127,31,63,63,127,63,127,31,63,63,31,63,255,127,31,63,63,31,70.68
73,63,31,31,63,63,31,63,127,31,63,63,127,63,127,31,63,63,31,63,255,127,31,63,63,31,70.68
74,63,31,31,63,63,31,63,127,31,63,63,127,63,127,31,63,63,31,63,255,127,31,63,63,31,70.68
75,63,31,31,63,63,31,63,127,31,63,63,127,63,127,31,63,63,31,63,255,127,31,63,63,31,70.68
76,63,31,31,63,63,31,63,127,31,63,63,127,63,127,31,63,63,31,63,255,127,31,63,63,31,70.68
77,63,31,31,63,63,31,63,127,31,63,63,127,63,127,31,63,63,31,63,255,127,31,63,63,31,70.68
78,63,31,31,63,63,31,63,127,31,63,63,127,63,127,31,63,63,31,127,255,127,31,63,63,31,73.24
79,63,31,31,63,63,31,63,127,31,63,63,127,63,127,31,63,127,31,127,255,127,31,63,63,31,75.8
80,63,31,63,63,63,31,63,127,31,63,63,127,63,127,31,63,127,31,127,255,127,31,63,63,31,77.08
81,63,31,63,63,63,31,63,127,31,63,63,127,63,127,31,63,127,31,127,255,127,31,63,63,31,77.08
82,63,31,63,63,63,31,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,63,31,78.36
83,63,31,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,63,31,79.64
84,63,31,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,63,31,79.64
85,63,31,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,63,31,79.64
86,63,31,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,63,31,79.64
87,63,31,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,63,31,79.64
88,63,31,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,63,31,79.64
89,63,31,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,127,31,82.2
90,63,31,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,127,31,82.2
91,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,127,31,83.48
92,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,127,31,83.48
93,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,127,31,83.48
94,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,127,31,83.48
95,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,127,31,83.48
96,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,255,31,88.6
97,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,255,31,88.6
98,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,255,31,88.6
99,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,255,31,88.6
100,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,255,31,88.6
101,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,255,31,88.6
102,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,255,31,88.6
103,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,255,31,88.6
104,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,255,31,88.6
105,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,255,31,88.6
106,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,31,63,255,31,88.6
107,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,63,63,255,31,89.88
108,63,63,63,63,63,63,63,127,31,63,63,127,63,127,63,63,127,31,127,255,127,63,63,255,31,89.88
109,63,63,63,63,63,63,63,127,31,63,63,127,127,127,63,63,127,31,127,255,127,63,63,255,31,92.44
110,63,63,63,63,63,63,63,127,31,63,63,127,127,127,63,63,127,31,127,255,127,63,63,255,31,92.44
111,63,63,63,63,63,63,63,127,31,63,63,127,127,127,63,63,127,31,127,255,127,63,63,255,31,92.44
112,63,63,63,63,63,63,63,127,31,63,63,127,127,127,63,63,127,31,127,255,127,63,63,255,31,92.44
113,63,63,63,63,63,63,63,127,31,63,63,127,127,127,63,63,127,31,127,255,127,63,63,255,31,92.44
114,63,127,63,63,63,63,63,127,31,63,63,127,127,127,63,63,127,31,127,255,127,63,63,255,31,95
115,63,127,63,63,63,63,63,127,31,63,63,127,127,127,63,127,127,63,127,255,127,63,63,255,63,100.12
116,63,127,63,63,63,63,63,127,31,63,63,127,127,127,63,127,127,63,127,255,127,63,63,255,63,100.12
117,63,127,63,63,63,63,63,127,31,63,63,127,127,127,63,127,127,63,127,255,127,127,63,255,63,102.68
118,63,127,63,63,63,63,63,127,31,63,63,127,127,127,63,127,127,63,127,255,127,127,63,255,63,102.68
