Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Estimator_11,Estimator_12,Estimator_13,Estimator_14,Estimator_15,Estimator_16,Estimator_17,Estimator_18,Estimator_19,Estimator_20,Estimator_21,Estimator_22,Estimator_23,Estimator_24,Estimator_25,Estimator_26,Estimator_27,Estimator_28,Estimator_29,Estimator_30,Estimator_31,Estimator_32,Estimator_33,Estimator_34,Estimator_35,Estimator_36,Estimator_37,Estimator_38,Estimator_39,Estimator_40,Estimator_41,Estimator_42,Estimator_43,Estimator_44,Estimator_45,Estimator_46,Estimator_47,Estimator_48,Estimator_49,Estimator_50,Average_Estimator
27,31,31,15,31,31,31,15,31,63,31,31,15,15,15,15,15,31,15,15,15,7,15,7,7,15,31,15,15,15,31,15,15,15,15,31,15,15,31,15,31,15,31,15,15,15,15,31,7,15,15,20.44
28,31,31,15,31,31,31,15,31,63,31,31,15,31,15,15,15,31,15,15,15,7,15,7,7,15,31,15,15,15,31,15,15,31,15,31,15,15,31,31,31,15,31,15,15,15,15,31,7,15,31,21.72
29,31,31,15,31,31,31,15,31,63,31,31,31,31,15,15,15,31,15,15,15,15,15,15,7,15,31,15,15,15,31,15,15,31,15,31,15,15,31,31,31,15,31,15,15,15,15,31,7,15,31,22.36
30,31,31,15,31,31,31,15,31,63,31,31,31,31,15,15,31,31,15,31,15,15,15,15,15,15,31,15,15,15,31,15,15,31,15,31,15,15,31,31,31,15,31,15,15,15,15,31,7,15,31,23.16
31,63,31,15,31,31,31,15,31,63,31,31,31,31,15,15,31,31,15,31,15,15,15,15,15,15,31,31,15,15,31,15,15,31,15,31,15,15,31,31,31,15,31,15,15,15,15,31,7,15,31,24.12
32,63,31,15,31,31,31,15,31,63,31,31,31,31,15,15,31,31,15,31,15,15,15,15,31,15,31,31,15,15,31,15,15,31,15,31,15,15,31,31,31,15,31,15,15,15,15,31,7,15,31,24.44
33,63,31,15,31,31,31,15,31,63,31,31,31,31,15,15,31,31,15,31,15,15,15,15,31,15,31,31,15,15,31,15,15,31,15,31,15,15,31,31,31,15,31,15,15,15,15,31,7,15,63,25.08
34,63,31,15,31,31,31,15,31,63,31,31,31,31,15,15,31,31,15,31,15,31,15,15,31,15,31,31,15,15,31,31,15,31,15,31,15,15,63,31,31,15,31,15,15,15,15,31,7,15,127,27.64
35,63,31,15,31,31,31,15,31,63,63,31,31,31,15,15,31,31,15,31,15,31,15,15,31,15,31,31,15,15,31,31,15,31,15,31,31,31,63,31,31,15,31,15,15,15,15,31,7,15,127,28.92
36,63,31,31,31,31,31,15,31,63,63,31,31,31,15,15,31,31,15,31,15,31,15,15,31,15,31,31,15,15,31,31,15,31,15,31,31,31,63,31,31,15,31,15,15,15,15,31,7,15,127,29.24
37,127,31,31,31,31,31,31,31,63,63,31,31,31,31,15,31,31,15,31,15,31,15,15,63,31,31,31,15,15,31,31,15,31,31,31,31,31,63,31,31,31,31,15,15,15,15,31,7,15,127,32.76
38,127,31,31,31,31,31,31,31,63,63,31,31,31,31,15,31,31,15,31,15,31,15,15,63,31,31,31,15,15,31,31,15,31,31,31,31,31,63,31,31,31,31,15,15,15,15,31,7,15,127,32.76
39,127,31,31,31,31,31,31,31,63,63,31,31,31,31,15,31,31,31,31,15,31,15,15,63,31,31,31,15,15,31,31,15,31,31,31,31,31,63,31,31,31,31,15,15,15,15,31,7,15,127,33.08
40,127,31,31,31,31,31,31,31,63,63,31,31,31,31,15,31,31,31,31,31,31,15,31,63,31,31,31,15,15,31,63,15,31,31,31,31,31,63,31,31,31,31,15,15,15,15,31,7,15,127,34.36
41,127,31,31,31,31,31,31,31,63,63,31,31,31,31,31,31,31,31,31,31,31,15,31,63,63,31,31,15,15,31,63,15,31,31,31,31,63,63,31,31,31,31,15,15,15,15,31,7,15,127,35.96
42,127,31,31,31,31,31,31,31,63,63,31,31,31,31,31,31,31,31,31,31,31,15,31,63,63,31,31,31,15,63,63,15,63,31,31,31,63,63,63,63,31,31,15,15,15,15,31,15,15,127,39
43,127,63,31,31,31,31,31,31,63,63,31,31,31,31,31,31,31,31,31,31,31,15,31,63,63,31,31,31,15,63,63,15,63,31,31,31,63,63,63,63,31,31,15,15,15,15,31,15,15,127,39.64
44,127,63,31,31,31,31,31,31,63,63,31,31,31,31,31,31,31,31,63,31,31,15,31,63,63,31,31,31,15,63,63,15,63,31,31,31,63,63,63,63,31,31,15,15,15,15,31,15,15,127,40.28
45,127,63,31,31,31,31,31,31,63,63,31,31,31,31,31,31,31,31,63,31,31,15,31,63,63,31,31,31,15,63,63,31,63,31,31,31,63,63,63,63,31,31,15,15,15,15,31,15,15,127,40.6
46,127,63,31,31,31,31,63,31,63,63,31,31,31,31,31,31,31,31,63,31,31,15,31,63,63,31,31,31,15,63,63,31,63,31,31,31,63,63,63,63,31,31,15,15,15,15,31,15,15,127,41.24
47,127,63,31,31,31,31,63,31,63,63,31,31,31,31,31,31,31,31,63,63,31,15,31,63,63,31,31,31,15,63,63,31,63,31,31,31,63,63,63,63,31,31,15,31,15,31,31,15,15,127,42.52
48,127,63,63,31,31,31,63,31,63,127,31,31,31,31,31,31,31,31,63,63,31,15,31,63,63,31,31,31,15,63,63,31,63,31,31,31,63,63,63,63,31,31,15,31,15,31,31,15,15,127,44.44
49,127,63,63,31,31,31,63,31,63,127,31,31,31,31,31,31,31,31,63,63,31,15,31,63,63,31,31,31,15,63,63,31,63,31,31,31,63,63,63,63,31,31,15,31,15,31,31,15,15,127,44.44
50,127,63,63,31,31,31,63,31,63,127,31,31,31,31,31,31,31,31,63,63,31,31,63,63,63,31,63,31,15,63,63,31,63,31,31,31,63,63,127,63,31,31,15,31,15,31,31,15,15,127,47.32
51,127,63,63,31,31,31,127,31,63,127,31,31,31,31,31,31,31,31,63,63,63,31,63,63,63,31,63,31,15,63,63,31,63,31,31,31,63,63,127,63,31,31,15,31,15,63,31,15,15,127,49.88
52,127,63,127,31,31,31,127,31,63,127,31,31,31,31,31,31,31,31,63,63,63,31,63,63,63,31,63,31,15,63,63,31,63,31,31,31,63,63,127,63,31,31,15,31,15,63,31,15,15,127,51.16
53,127,63,127,31,31,31,127,31,63,127,31,31,31,31,31,31,31,31,63,63,63,31,63,63,63,31,63,31,15,63,63,31,63,31,31,31,63,63,127,63,31,31,31,31,15,63,31,15,15,127,51.48
54,127,63,127,31,31,31,127,31,63,127,31,31,31,31,31,31,31,31,63,63,63,31,63,63,63,31,63,31,15,63,63,31,63,31,31,31,63,63,127,63,31,31,31,31,15,63,31,15,15,127,51.48
55,127,63,127,31,31,31,127,31,63,127,31,31,31,31,31,31,31,31,63,63,63,31,63,63,63,31,63,31,15,63,63,31,63,31,31,31,63,63,127,63,31,31,31,31,15,63,31,15,31,255,54.36
56,127,63,127,31,31,31,127,31,63,127,31,31,31,31,31,31,31,31,63,63,63,31,63,63,63,31,63,31,15,63,63,31,127,31,31,31,63,63,127,63,31,63,31,31,15,63,31,15,31,255,56.28
57,127,63,127,31,31,31,127,31,63,127,31,31,31,31,31,31,31,31,63,63,63,31,63,63,63,31,63,31,15,63,63,31,127,31,31,31,63,63,127,63,31,63,31,31,15,63,31,15,31,255,56.28
58,127,63,127,31,31,31,127,31,63,127,31,31,31,31,31,31,31,31,63,63,63,31,63,63,63,31,63,31,15,63,63,31,127,31,31,31,63,63,127,63,31,63,31,31,15,63,31,15,31,255,56.28
59,127,63,255,31,31,31,127,31,63,127,31,31,31,31,31,31,31,31,63,63,63,31,63,63,63,31,63,31,15,63,63,31,127,31,31,31,63,63,127,63,31,63,31,63,15,63,31,15,31,255,59.48
60,127,63,255,31,31,31,255,31,63,127,31,31,31,31,31,31,31,31,63,63,63,31,63,63,63,31,63,31,15,63,63,31,127,31,31,31,63,63,127,63,31,63,31,63,15,63,31,15,31,255,62.04
61,127,63,255,31,31,31,255,31,63,127,31,31,31,31,31,31,31,31,63,63,127,31,63,63,63,31,63,31,15,63,63,31,127,31,31,31,63,63,127,63,31,63,31,127,31,63,31,15,31,255,64.92
62,127,63,255,31,31,31,255,31,63,127,31,31,31,31,63,31,31,31,63,63,127,31,63,63,63,31,63,31,15,63,63,31,127,31,31,31,63,63,127,63,31,63,31,127,31,63,31,15,31,255,65.56
63,127,63,255,31,31,31,255,31,63,127,31,31,31,63,127,31,31,31,63,63,127,31,63,63,63,31,63,31,15,63,63,31,127,31,31,31,63,63,127,63,31,63,31,127,31,63,31,15,31,255,67.48
64,127,63,255,31,31,31,255,31,63,127,31,31,31,63,127,31,31,31,63,63,127,31,63,63,63,31,63,31,15,63,63,63,127,31,31,31,63,63,127,63,31,63,31,127,31,63,31,15,31,255,68.12
65,127,63,255,31,31,31,255,31,63,127,31,31,31,63,127,31,31,31,63,63,127,31,63,63,63,31,63,31,15,63,63,63,127,31,31,31,63,63,127,127,31,63,31,127,31,63,31,15,31,255,69.4
