Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Estimator_11,Estimator_12,Estimator_13,Estimator_14,Estimator_15,Estimator_16,Estimator_17,Estimator_18,Estimator_19,Estimator_20,Estimator_21,Estimator_22,Estimator_23,Estimator_24,Estimator_25,Estimator_26,Estimator_27,Estimator_28,Estimator_29,Estimator_30,Estimator_31,Estimator_32,Estimator_33,Estimator_34,Estimator_35,Estimator_36,Estimator_37,Estimator_38,Estimator_39,Estimator_40,Estimator_41,Estimator_42,Estimator_43,Estimator_44,Estimator_45,Estimator_46,Estimator_47,Estimator_48,Estimator_49,Estimator_50,Estimator_51,Estimator_52,Estimator_53,Estimator_54,Estimator_55,Estimator_56,Estimator_57,Estimator_58,Estimator_59,Estimator_60,Estimator_61,Estimator_62,Estimator_63,Estimator_64,Estimator_65,Estimator_66,Estimator_67,Estimator_68,Estimator_69,Estimator_70,Estimator_71,Estimator_72,Estimator_73,Estimator_74,Estimator_75,Average_Estimator
2444,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2445,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2446,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2447,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2448,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2449,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2450,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2451,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2452,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2453,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2454,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2455,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2456,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2457,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2458,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2459,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2460,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2461,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2462,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2463,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2464,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,1023,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2606.79
2465,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2620.44
2466,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2620.44
2467,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2620.44
2468,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2620.44
2469,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2620.44
2470,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2620.44
2471,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2620.44
2472,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2620.44
2473,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2620.44
2474,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2620.44
2475,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2620.44
2476,2047,4095,1023,1023,4095,4095,2047,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2620.44
2477,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2478,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2479,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2480,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2481,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2482,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2483,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2484,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2485,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2486,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2487,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2488,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2489,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2490,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2491,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2492,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2493,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2494,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2495,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2496,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2497,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2498,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2499,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
2500,2047,4095,1023,1023,4095,4095,4095,8191,2047,4095,2047,4095,2047,2047,2047,2047,1023,1023,2047,2047,2047,2047,4095,2047,4095,8191,2047,1023,1023,2047,2047,2047,2047,2047,2047,8191,1023,2047,1023,8191,1023,2047,8191,4095,2047,1023,2047,2047,4095,1023,2047,2047,1023,1023,2047,2047,2047,1023,4095,4095,2047,4095,2047,4095,1023,4095,4095,1023,1023,2047,2047,2047,1023,2047,2047,2647.75
