Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Estimator_11,Estimator_12,Estimator_13,Estimator_14,Estimator_15,Estimator_16,Estimator_17,Estimator_18,Estimator_19,Estimator_20,Estimator_21,Estimator_22,Estimator_23,Estimator_24,Estimator_25,Estimator_26,Estimator_27,Estimator_28,Estimator_29,Estimator_30,Estimator_31,Estimator_32,Estimator_33,Estimator_34,Estimator_35,Estimator_36,Estimator_37,Estimator_38,Estimator_39,Estimator_40,Estimator_41,Estimator_42,Estimator_43,Estimator_44,Estimator_45,Estimator_46,Estimator_47,Estimator_48,Estimator_49,Estimator_50,Estimator_51,Estimator_52,Estimator_53,Estimator_54,Estimator_55,Estimator_56,Estimator_57,Estimator_58,Estimator_59,Estimator_60,Estimator_61,Estimator_62,Estimator_63,Estimator_64,Estimator_65,Estimator_66,Estimator_67,Estimator_68,Estimator_69,Estimator_70,Estimator_71,Estimator_72,Estimator_73,Estimator_74,Estimator_75,Average_Estimator
28,15,15,15,31,15,31,15,63,31,63,7,15,15,15,7,15,15,31,15,31,31,7,63,15,31,31,31,15,15,31,63,31,15,15,15,63,63,31,15,15,31,31,63,31,31,15,15,15,31,31,15,31,63,7,31,15,7,31,15,63,63,15,7,31,15,63,15,63,7,15,31,15,31,15,31,27.2667
29,15,15,15,31,15,31,15,63,31,63,7,15,15,15,7,15,15,31,15,31,31,15,63,15,31,31,31,15,31,31,63,31,15,31,15,63,63,31,15,15,31,31,63,31,31,15,15,15,31,31,15,31,63,7,31,15,7,31,15,63,63,15,7,31,15,63,15,63,7,15,31,15,31,15,31,27.8
30,15,15,15,31,15,31,15,63,31,63,7,15,15,31,7,15,15,31,15,31,31,15,63,31,31,31,31,15,31,63,63,31,15,31,15,63,63,31,15,15,31,31,63,31,31,15,15,31,31,31,15,31,63,7,31,15,7,31,15,63,63,15,15,31,15,63,15,63,7,15,31,15,31,15,31,28.9733
31,15,15,15,31,15,31,15,127,31,63,7,15,15,31,7,15,15,31,15,31,31,15,63,31,31,31,31,15,31,63,63,31,15,31,15,63,63,31,15,15,31,31,63,31,31,15,15,31,31,31,15,31,63,7,31,15,15,31,15,63,63,15,31,31,15,127,15,63,7,15,31,15,63,15,31,31.4267
32,15,15,15,31,15,31,15,127,31,63,7,15,15,31,7,15,15,31,15,31,63,15,63,31,31,31,31,15,31,63,63,31,15,31,15,63,63,31,15,15,31,31,63,31,31,31,31,31,31,31,15,63,63,7,31,15,15,31,31,63,63,15,31,31,15,127,15,63,7,15,31,15,63,15,63,33.3467
33,15,15,15,31,15,31,15,127,31,63,7,15,15,31,7,15,15,31,15,31,63,15,63,31,31,63,31,15,31,63,63,31,15,31,15,63,63,31,15,15,31,31,63,31,31,31,31,31,31,31,15,63,63,15,31,15,15,31,31,63,63,31,31,31,15,127,15,63,7,31,31,15,63,15,63,34.3067
34,15,15,31,31,15,31,15,127,31,63,7,15,15,31,7,15,15,31,15,31,63,15,63,31,31,63,31,15,31,63,63,31,15,31,15,63,63,31,15,15,31,31,63,31,31,31,31,31,31,31,15,63,63,15,31,15,15,31,31,63,63,31,31,31,15,127,15,63,7,31,31,15,63,15,63,34.52
35,15,15,31,31,31,31,15,127,31,63,7,15,15,63,7,15,15,31,31,31,63,15,127,31,31,63,31,15,31,63,63,31,15,31,15,63,63,31,15,15,31,31,63,31,31,31,31,31,31,31,15,63,63,15,31,15,15,31,31,63,63,63,31,31,15,127,15,63,7,31,31,15,63,15,127,37.5067
36,15,15,31,31,31,31,31,127,31,63,15,15,15,63,7,15,15,63,31,31,63,15,127,31,31,63,31,15,31,63,63,31,15,31,15,63,63,31,15,15,63,31,63,31,31,31,31,31,31,31,15,63,63,15,31,15,15,31,31,63,63,63,31,31,15,127,15,63,7,31,31,15,63,15,127,38.68
37,15,15,31,31,31,31,31,127,31,63,15,31,15,63,7,15,15,63,31,31,63,15,127,31,31,63,31,15,31,63,63,31,15,31,15,63,63,31,15,15,63,63,63,31,31,31,31,63,31,31,15,63,63,15,31,15,15,31,31,63,63,63,31,31,15,127,15,63,7,31,31,15,63,15,127,39.7467
38,15,15,31,31,31,31,31,127,31,63,15,31,15,63,7,15,15,63,31,31,63,15,255,31,31,63,31,15,31,63,63,31,15,31,15,63,63,31,15,15,63,63,63,31,31,31,31,63,31,31,15,63,63,15,31,31,15,31,31,63,63,63,31,31,15,127,15,63,7,31,31,15,63,15,127,41.6667
39,15,15,31,31,31,31,31,127,31,63,15,63,15,63,7,15,15,63,31,31,63,15,255,31,31,63,31,15,31,63,63,31,15,31,15,63,63,31,15,15,63,63,63,31,31,31,31,63,31,31,15,63,63,15,31,31,15,31,31,63,63,63,31,31,15,127,15,63,7,31,31,15,63,15,127,42.0933
